Marque;Modèle;Prix;Carburant;Chevaux;Type_moteur;Cylindrée;CO2;KM;Année;Transmission;Puissance;Puissance_fiscale
CITROEN;C3;28499;ESSENCE;110;PureTech;1.2;123;21250;2022;AUTOMATIQUE;80.905;5.969533333333334
CITROEN;C3;31800;Electrique;83;PureTech;1.2;130;24294;2021;Automatique;61.0465;5.330748888888889
RENAULT;Clio;21499;Essence;90;dCi;1.5;82;26770;2018;Manuelle;66.19500000000001;4.470022222222222
CITROEN;C3;17990;Essence;83;PureTech;1.2;123;20275;2023;Manuelle;61.0465;5.1751933333333335
PEUGEOT;208;17990;Essence;100;PureTech;1.2;118;20864;2022;Manuelle;73.55000000000001;5.564222222222223
RENAULT;Kadjar;19799;ESSENCE;115;Blue;1.5;112;20246;2022;MANUELLE;84.58250000000001;5.872188888888889
CITROEN;C3;23999;Diesel;110;PureTech;1.2;132;85100;2019;Manuelle;80.905;6.169533333333334
CITROEN;C3;18761;Essence;110;PureTech;1.2;122;17897;2022;Manuelle;80.905;5.947311111111111
RENAULT;Megane estate;16499;Hybride;140;TCe;1.3;142;7290;2022;Automatique;102.97;7.274355555555555
PEUGEOT;208;13980;Essence M;100;PureTech;1.2;118;34642;2021;Manuelle;73.55000000000001;5.564222222222223
DACIA;Duster;28499;DIESEL;115;Blue;1.5;108;57118;2019;MANUELLE;84.58250000000001;5.7833000000000006
RENAULT;Megane;22389;Essence;95;Blue;1.5;116;7452;2022;Automatique;69.8725;5.372677777777778
CITROEN;C3;16499;Diesel;83;PureTech;1.2;123;54101;2020;Manuelle;61.0465;5.1751933333333335
PEUGEOT;208;28499;DIESEL;100;PureTech;1.2;118;57118;2019;MANUELLE;73.55000000000001;5.564222222222223
PEUGEOT;2008;15499;Hybride R;100;BlueHDi;1.5;86;19272;2022;Automatique;73.55000000000001;4.853111111111112
CITROEN;C3;27487;Diesel;83;PureTech;1.2;123;70001;2021;Automatique;61.0465;5.1751933333333335
CITROEN;C3;17299;Diesel;83;PureTech;1.2;122;61754;2019;Automatique;61.0465;5.152971111111111
CITROEN;C3;28499;DIESEL;83;PureTech;1.2;123;57118;2019;MANUELLE;61.0465;5.1751933333333335
MERCEDES;Classe b;34778;Diesel;116;116ch;2.0;8;45300;2020;Manuelle;85.31800000000001;3.590497777777778
PEUGEOT;2008;27900;Essence;100;BlueHDi;1.5;86;25850;2020;Automatique;73.55000000000001;4.853111111111112
DACIA;Duster;20499;Essence;115;Blue;1.5;108;110582;2016;Manuelle;84.58250000000001;5.7833000000000006
CITROEN;C3;14999;Essence;83;PureTech;1.2;123;15645;2022;Manuelle;61.0465;5.1751933333333335
RENAULT;Kadjar;30890;Diesel;115;Blue;1.5;112;123580;2017;Automatique;84.58250000000001;5.872188888888889
PEUGEOT;3008;16499;Hybride R;130;BlueHDi;1.5;111;30150;2021;Automatique;95.61500000000001;6.291266666666667
PEUGEOT;208;58990;Diesel;100;PureTech;1.2;118;107262;2019;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;208;55299;Diesel;100;PureTech;1.2;118;53053;2020;Manuelle;73.55000000000001;5.564222222222223
CITROEN;C3;19799;HYBRIDE;83;PureTech;1.2;123;43140;2021;AUTOMATIQUE;61.0465;5.1751933333333335
CITROEN;C3;27900;Electrique;83;PureTech;1.2;122;1858;2023;Automatique;61.0465;5.152971111111111
FIAT;500;19799;ESSENCE;69;8v;1.2;109;20246;2022;MANUELLE;50.749500000000005;4.452202222222223
PEUGEOT;2008;13499;Essence;130;BlueHDi;1.5;125;34000;2018;Manuelle;95.61500000000001;6.602377777777778
CITROEN;C3;16499;Essence;83;PureTech;1.2;123;33603;2021;Manuelle;61.0465;5.1751933333333335
RENAULT;Clio estate;19900;Essence;90;dCi;1.5;82;93965;2016;Automatique;66.19500000000001;4.470022222222222
RENAULT;Kadjar;18999;Essence;140;TCe;1.3;130;28928;2019;Manuelle;102.97;7.0076888888888895
CITROEN;C3;15299;Essence;110;PureTech;1.2;132;22420;2020;Manuelle;80.905;6.169533333333334
SEAT;Ateca;28499;ESSENCE;150;TSI;1.5;151;21250;2022;AUTOMATIQUE;110.325;7.768555555555556
PEUGEOT;208;34499;Diesel;100;PureTech;1.2;118;89609;2018;Automatique;73.55000000000001;5.564222222222223
CITROEN;C3;20499;Diesel;110;PureTech;1.2;125;64953;2020;Automatique;80.905;6.013977777777778
DACIA;Duster;46990;Essence;115;Blue;1.5;108;5000;2023;Automatique;84.58250000000001;5.7833000000000006
PEUGEOT;208;14680;Hybride;100;PureTech;1.2;118;65563;2018;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;208;20480;Essence;100;PureTech;1.2;118;21335;2021;Manuelle;73.55000000000001;5.564222222222223
CITROEN;C3;12999;Essence;83;PureTech;1.2;123;7219;2022;Manuelle;61.0465;5.1751933333333335
PEUGEOT;208;43990;Diesel;100;PureTech;1.2;118;117449;2020;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;208;16999;Essence;75;PureTech;1.2;119;14181;2022;Manuelle;55.1625;4.850944444444444
PEUGEOT;208;21380;Diesel;100;PureTech;1.2;118;38071;2021;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;208;34778;Essence;100;PureTech;1.2;118;20197;2022;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;208;14999;Essence;75;PureTech;1.2;119;24610;2021;Manuelle;55.1625;4.850944444444444
CITROEN;C3;34778;Electrique;83;PureTech;1.2;123;32908;2020;Automatique;61.0465;5.1751933333333335
PEUGEOT;208;34999;Diesel;100;PureTech;1.2;118;73345;2021;Manuelle;73.55000000000001;5.564222222222223
CITROEN;C3;12499;Diesel;83;PureTech;1.2;123;73466;2020;Automatique;61.0465;5.1751933333333335
PEUGEOT;208;15499;Essence;75;PureTech;1.2;118;21644;2021;Manuelle;55.1625;4.828722222222222
RENAULT;Megane estate;19799;HYBRIDE;140;TCe;1.3;142;43140;2021;AUTOMATIQUE;102.97;7.274355555555555
PEUGEOT;208;19799;ESSENCE;100;PureTech;1.2;118;20246;2022;MANUELLE;73.55000000000001;5.564222222222223
RENAULT;Captur;28499;ESSENCE;90;TCe;0.9;114;21250;2022;AUTOMATIQUE;66.19500000000001;5.181133333333333
DACIA;Duster;12479;Essence M;100;TCe;1.0;121;19724;2022;Automatique;73.55000000000001;5.63088888888889
FORD;Focus active;14490;Hybride R;120;EcoBlue;1.5;101;10;2023;Automatique;88.26;5.774844444444445
PEUGEOT;208;15799;Essence;100;PureTech;1.2;118;19338;2020;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;208;13499;Diesel;75;PureTech;1.2;118;39492;2020;Automatique;55.1625;4.828722222222222
PEUGEOT;208;18900;Essence;100;PureTech;1.2;118;27935;2020;Manuelle;73.55000000000001;5.564222222222223
CITROEN;C3;19799;ESSENCE;83;PureTech;1.2;123;20246;2022;MANUELLE;61.0465;5.1751933333333335
PEUGEOT;208;17999;Electrique;100;PureTech;1.2;118;1000;2023;Automatique;73.55000000000001;5.564222222222223
RENAULT;Captur;16499;Essence;90;TCe;0.9;114;10000;2023;Automatique;66.19500000000001;5.181133333333333
PEUGEOT;208;18999;Essence;100;PureTech;1.2;118;7000;2022;Manuelle;73.55000000000001;5.564222222222223
RENAULT;Kadjar;16499;Hybride;140;TCe;1.3;152;36769;2019;Automatique;102.97;7.4965777777777785
RENAULT;Clio;35299;Essence;90;dCi;1.5;82;27860;2022;Manuelle;66.19500000000001;4.470022222222222
PEUGEOT;308;9299;Essence;110;PureTech;1.2;108;78600;2018;Manuelle;80.905;5.6362000000000005
PEUGEOT;208;17299;Essence;100;PureTech;1.2;118;15500;2022;Manuelle;73.55000000000001;5.564222222222223
DACIA;Duster;15999;Diesel;115;Blue;1.5;108;69422;2019;Manuelle;84.58250000000001;5.7833000000000006
CITROEN;C3;28499;DIESEL;110;PureTech;1.2;121;57118;2019;MANUELLE;80.905;5.925088888888889
PEUGEOT;208;20478;Essence;100;PureTech;1.2;118;10;2023;Automatique;73.55000000000001;5.564222222222223
CITROEN;C3;16490;Essence;110;PureTech;1.2;137;55111;2020;Automatique;80.905;6.2806444444444445
PEUGEOT;2008;89900;Essence;100;PureTech;1.2;122;3;2022;Manuelle;73.55000000000001;5.653111111111112
RENAULT;Kadjar;31980;Diesel;115;Blue;1.5;112;107547;2017;Automatique;84.58250000000001;5.872188888888889
PEUGEOT;208;28499;ESSENCE;100;PureTech;1.2;118;21250;2022;AUTOMATIQUE;73.55000000000001;5.564222222222223
CITROEN;C3;19680;Diesel;110;PureTech;1.2;137;60857;2021;Manuelle;80.905;6.2806444444444445
FIAT;500;16999;Essence;69;8v;1.2;109;51571;2019;Automatique;50.749500000000005;4.452202222222223
PEUGEOT;208;16799;Electrique;100;PureTech;1.2;118;48335;2022;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;208;19490;Diesel;100;PureTech;1.2;118;237;2022;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;208;16499;Diesel;100;PureTech;1.2;118;111205;2020;Automatique;73.55000000000001;5.564222222222223
RENAULT;Megane estate;34778;Essence;140;TCe;1.3;142;70113;2020;Manuelle;102.97;7.274355555555555
CITROEN;C3;19799;HYBRIDE;83;PureTech;1.2;123;43140;2021;AUTOMATIQUE;61.0465;5.1751933333333335
CITROEN;C3;17799;Diesel;110;PureTech;1.2;132;66100;2021;Manuelle;80.905;6.169533333333334
PEUGEOT;308;19299;Essence;130;PureTech;1.2;108;19633;2022;Manuelle;95.61500000000001;6.224600000000001
CITROEN;C3;68900;Essence;83;PureTech;1.2;123;38007;2019;Manuelle;61.0465;5.1751933333333335
CITROEN;C3;14499;Electrique;83;PureTech;1.2;123;21959;2016;Automatique;61.0465;5.1751933333333335
PEUGEOT;208;18299;Essence;100;PureTech;1.2;118;10624;2021;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;208;19799;Essence;100;PureTech;1.2;118;4861;2022;Manuelle;73.55000000000001;5.564222222222223
FORD;Focus;18999;Essence;125;EcoBoost;1.0;97;56763;2019;Manuelle;91.9375;5.833055555555555
PEUGEOT;208;28299;Essence;100;PureTech;1.2;118;11963;2021;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;208;11999;Essence;100;PureTech;1.2;118;74771;2018;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;208;17799;Essence;100;PureTech;1.2;118;11320;2022;Manuelle;73.55000000000001;5.564222222222223
CITROEN;C3;12499;Hybride;110;PureTech;1.2;132;35000;2021;Automatique;80.905;6.169533333333334
CITROEN;C3;28499;ESSENCE;83;PureTech;1.2;122;21250;2022;AUTOMATIQUE;61.0465;5.152971111111111
CITROEN;C3;42300;Essence;83;PureTech;1.2;123;10000;2023;Automatique;61.0465;5.1751933333333335
RENAULT;Captur;24999;Gpl;90;TCe;0.9;114;8504;2023;Manuelle;66.19500000000001;5.181133333333333
PEUGEOT;208;16499;Essence;100;PureTech;1.2;118;39884;2019;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;2008;16990;Diesel;100;BlueHDi;1.5;86;45060;2021;Automatique;73.55000000000001;4.853111111111112
CITROEN;C3;24799;Diesel;110;PureTech;1.2;124;110100;2017;Manuelle;80.905;5.991755555555556
PEUGEOT;5008;31499;Electrique;130;BlueHDi;1.5;111;82447;2021;Automatique;95.61500000000001;6.291266666666667
RENAULT;Kadjar;20999;Essence;140;TCe;1.3;130;22410;2020;Manuelle;102.97;7.0076888888888895
PEUGEOT;2008;18499;Diesel;130;BlueHDi;1.5;125;109752;2017;Automatique;95.61500000000001;6.602377777777778
CITROEN;C3;13899;Essence;83;PureTech;1.2;123;12867;2021;Manuelle;61.0465;5.1751933333333335
PEUGEOT;208;16799;Essence;100;PureTech;1.2;118;19183;2021;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;208;28499;DIESEL;100;PureTech;1.2;118;57118;2019;MANUELLE;73.55000000000001;5.564222222222223
PEUGEOT;208;17999;Essence;100;PureTech;1.2;118;5160;2022;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;2008;26798;Diesel;130;BlueHDi;1.5;125;29881;2022;Automatique;95.61500000000001;6.602377777777778
RENAULT;Megane;16499;Essence;115;TCe;1.3;120;39352;2019;Manuelle;84.58250000000001;6.049966666666667
PEUGEOT;208;20480;Essence;100;PureTech;1.2;118;35137;2019;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;2008;19799;HYBRIDE;100;BlueHDi;1.5;86;43140;2021;AUTOMATIQUE;73.55000000000001;4.853111111111112
PEUGEOT;208;14290;Electrique;100;PureTech;1.2;118;10;2023;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;208;54957;Diesel;100;PureTech;1.2;118;110220;2015;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;208;19799;ESSENCE;100;PureTech;1.2;118;20246;2022;MANUELLE;73.55000000000001;5.564222222222223
CITROEN;C3;32499;Essence;110;PureTech;1.2;124;20524;2020;Manuelle;80.905;5.991755555555556
PEUGEOT;208;32999;Diesel;100;PureTech;1.2;118;105800;2016;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;2008;36990;Hybride;130;BlueHDi;1.5;125;76000;2018;Automatique;95.61500000000001;6.602377777777778
RENAULT;Kadjar;14999;Hybride R;115;Blue;1.5;112;25000;2021;Automatique;84.58250000000001;5.872188888888889
CITROEN;C3;10479;Essence;83;PureTech;1.2;123;40588;2020;Manuelle;61.0465;5.1751933333333335
PEUGEOT;208;19799;Essence;100;PureTech;1.2;118;14039;2022;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;208;33799;Hybride;100;PureTech;1.2;118;15000;2023;Automatique;73.55000000000001;5.564222222222223
PEUGEOT;208;19499;Essence;100;PureTech;1.2;118;14387;2022;Manuelle;73.55000000000001;5.564222222222223
CITROEN;C3;34778;Diesel M;83;PureTech;1.2;123;78511;2021;Automatique;61.0465;5.1751933333333335
CITROEN;C3;20999;Diesel;110;PureTech;1.2;121;103143;2016;Manuelle;80.905;5.925088888888889
CITROEN;C3;11290;Gpl;83;PureTech;1.2;122;49226;2020;Manuelle;61.0465;5.152971111111111
PEUGEOT;208;13799;Essence;100;PureTech;1.2;118;14242;2022;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;208;16780;Essence;100;PureTech;1.2;118;47749;2020;Manuelle;73.55000000000001;5.564222222222223
PEUGEOT;208;10999;Hybride R;100;PureTech;1.2;118;30827;2021;Automatique;73.55000000000001;5.564222222222223
FORD;Focus active;28499;DIESEL;125;EcoBoost;1.0;96;57118;2019;MANUELLE;91.9375;5.810833333333333
RENAULT;Kadjar;26299;Essence;115;Blue;1.5;135;30829;2017;Automatique;84.58250000000001;6.3833
FORD;Focus active sw;22999;Essence;150;EcoBoost;1.5;112;39517;2019;Manuelle;110.325;6.901888888888889
CITROEN;C3;16499;Essence;110;PureTech;1.2;121;13259;2022;Manuelle;80.905;5.925088888888889
CITROEN;C3;20499;Essence;83;PureTech;1.2;122;24791;2022;Automatique;61.0465;5.152971111111111
